"tier","track","company","website","segment","why_fit","workflow_insertion_point","likely_team_buyer","why_now","fit_score","confidence_score","reachability_score","personalization_richness_score","pilot_likelihood_score","public_signal"
"Tier 2","Fintech / commerce / payment design partners","Rain","https://www.rain.com","Stablecoin-linked card and spend platform","Rain is highly relevant because Sardis can complement stablecoin card programs with richer policy, approval, and audit layers.","Stablecoin card issuance, merchant restrictions, controlled spend.","CEO, product lead for cards, partnerships.","Stablecoin card usage is expanding and agent-managed spend is a plausible next use case.","8","7","8","7","8","Official stablecoin card and spend infrastructure positioning."
"Tier 2","Fintech / commerce / payment design partners","PayPal","https://www.paypal.com","Payments and wallet network","PayPal is strategically relevant because agentic commerce is becoming mainstream, but it is less likely to need an outside control layer quickly.","Wallet actions, merchant checkout, agent commerce journeys.","Innovation leadership, product partnerships, commerce AI team.","PayPal is publicly engaging with agent commerce trends and merchant AI.","8","8","5","9","5","Official agent commerce and AI checkout positioning."
"Tier 2","Fintech / commerce / payment design partners","Airwallex","https://www.airwallex.com","Global payments and treasury platform","Airwallex is relevant because cross-border treasury and spend workflows are natural settings for controlled agent execution.","Treasury automation, FX and payout workflows, finance ops approvals.","VP Product, treasury lead, strategic partnerships.","Airwallex is expanding automation and stablecoin-adjacent capabilities in global finance.","8","7","7","7","7","Official automation and stablecoin-related product expansion."
"Tier 2","Fintech / commerce / payment design partners","Checkout.com","https://www.checkout.com","Enterprise payments platform","Checkout.com is a good fit where enterprise merchants want agentic checkout or autonomous commerce with stronger controls.","Merchant payment flows, checkout orchestration, risk-aware authorization.","VP Product, partnerships, innovation team.","Merchant AI and agentic commerce are rising topics across enterprise payments.","7","7","6","7","6","Official commerce innovation and stablecoin-related positioning."
"Tier 2","Fintech / commerce / payment design partners","Adyen","https://www.adyen.com","Enterprise commerce platform","Adyen fits where commerce platforms need safe agent checkout or controlled payment actions, though pilot odds are lower because of scale.","Enterprise merchant checkout, platform payments, approval-sensitive flows.","Commerce innovation lead, partnerships, product team.","Adyen is increasingly adjacent to AI-driven commerce and platform workflows.","7","7","5","8","5","Official AI and commerce trend engagement."
"Tier 2","Fintech / commerce / payment design partners","Primer","https://www.primer.io","Payment orchestration platform","Primer is relevant because it already sits above payment rails, and Sardis could extend orchestration into agent-safe approval and policy logic.","Payment orchestration layer, merchant routing, agentic checkout controls.","CEO, VP Product, partnerships.","As merchants explore agentic commerce, orchestration needs more intent and policy context.","8","7","8","7","8","Official payment orchestration expansion and merchant workflow positioning."
"Tier 2","Fintech / commerce / payment design partners","Treasury Prime","https://www.treasuryprime.com","Banking-as-a-service platform","Treasury Prime is relevant because embedded banking and programmable money movement increasingly need agent-safe control layers.","Banking actions, money movement, embedded finance approvals.","CEO, product lead, partnerships.","Embedded finance platforms are looking for more programmable and governed action layers.","7","7","7","6","7","Official embedded banking platform positioning."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Booking Holdings","https://www.bookingholdings.com","Travel marketplace","Booking is relevant because AI trip planning is moving toward action, and travel booking is a direct Sardis workflow fit.","Trip planning, booking confirmation, budget and traveler approvals.","VP Product for AI travel, booking platform leadership.","Booking.com is publicly investing in AI planning and shopping experiences.","8","8","6","8","6","Official AI trip planning and assistant rollout."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Coupa","https://www.coupa.com","Spend management and procurement","Coupa is one of the clearest procurement fits because agentic sourcing and spend workflows need budget policy and approval routing.","Requisition, purchase approval, spend policy enforcement.","VP Product AI, procurement product leadership.","Coupa is publicly pushing AI in spend management and procurement.","9","8","6","8","7","Official AI expansion in spend management."
"Tier 2","Commerce / marketplace / travel / procurement platforms","DoorDash","https://www.doordash.com","Commerce and ordering platform","DoorDash is relevant because conversational ordering and workflow automation move it closer to agent-led purchasing.","Order creation, checkout, business ordering, approval-sensitive purchases.","VP Product, marketplace AI lead, DoorDash for Work leadership.","DoorDash is publicly expanding AI in ordering and customer workflows.","8","7","6","7","6","Official AI-powered ordering and support experiences."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Uber","https://www.uber.com","Marketplace and mobility platform","Uber is relevant because AI-assisted ordering, booking, and enterprise travel workflows create direct payment moments that need control.","Ride and delivery booking, business travel, expense-aware approvals.","Product lead for AI, Uber for Business leadership.","Uber keeps expanding AI across booking and commerce experiences.","8","7","5","7","5","Official AI and marketplace workflow expansion."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Walmart","https://www.walmart.com","Retail and commerce platform","Walmart is strategically relevant because AI shopping assistants move toward purchase execution, though pilot reach is harder.","Shopping assistant, cart building, checkout, reorder workflows.","AI commerce lead, product innovation leadership.","Walmart is publicly pushing AI shopping and customer assistance now.","8","8","4","9","4","Official AI shopping assistant and retail AI rollout."
"Tier 3","Agent platforms / agent builders","Anthropic","https://www.anthropic.com","Foundational model and agent platform","Anthropic is relevant because computer-use and enterprise agents make action safety central, but it is likely to build much of this in-house.","Computer-use workflows, partner tool actions, enterprise agent execution.","Product lead for computer use, partnerships, platform team.","Anthropic keeps advancing computer-use capabilities, increasing the relevance of action governance.","9","8","3","9","3","Official computer-use and enterprise agent expansion."
"Tier 3","Agent platforms / agent builders","Microsoft","https://www.microsoft.com","Enterprise agent platform","Microsoft is clearly relevant through Copilot Studio and enterprise agents, but buying motion will be slow and likely internalized.","Copilot agent actions, procurement and finance workflow extensions.","Copilot Studio leadership, AI platform partnerships.","Microsoft is pushing agents across the enterprise stack, but external pilot odds are low.","8","9","3","9","3","Official Copilot Studio and enterprise agent expansion."
"Tier 3","Agent platforms / agent builders","Salesforce","https://www.salesforce.com","CRM and agent platform","Salesforce is relevant because Agentforce is embedding agents into enterprise workflows, but it is a harder pilot target despite clear fit.","Agentforce actions, commerce and service workflows, approval-sensitive actions.","Agentforce product leadership, platform partnerships.","Salesforce is rapidly expanding Agentforce and its partner marketplace.","8","9","3","10","4","Official Agentforce 2dx and Agentforce 3 announcements."
"Tier 3","Agent platforms / agent builders","ServiceNow","https://www.servicenow.com","Enterprise workflow platform","ServiceNow is relevant because AI Agent Orchestrator pushes autonomous work into service and ops workflows, but the buyer motion is long-cycle.","Service workflows, procurement or IT actions, approval-managed operations.","AI Agent Orchestrator leadership, platform team.","ServiceNow is publicly scaling AI agents across enterprise workflows.","8","8","4","8","4","Official AI Agent Orchestrator launch."
"Tier 3","Agent platforms / agent builders","Google Cloud","https://cloud.google.com","Enterprise AI platform","Google Cloud is strategically relevant because Gemini Enterprise and Agentspace push action-oriented AI into large organizations, but external pilot odds are modest.","Enterprise assistant actions, workflow execution, partner ecosystem integration.","Google Cloud AI leadership, partner ecosystem team.","Google is expanding enterprise AI orchestration aggressively, which makes governed actions timely.","8","8","3","9","3","Official Gemini Enterprise and Agentspace expansion."
"Tier 3","Internal enterprise AI and automation teams","Atlassian","https://www.atlassian.com","Work management and collaboration software","Atlassian is a plausible fit because Rovo and workflow agents could move into procurement, service, and approval tasks that touch spend.","Project-to-purchase workflows, service approvals, internal operations agents.","Rovo product lead, platform partnerships.","Atlassian is broadening Rovo and AI workflow capabilities across the stack.","7","7","6","7","5","Official Rovo and workflow AI expansion."
"Tier 3","Internal enterprise AI and automation teams","Canva","https://www.canva.com","Design platform with internal AI adoption","Canva is relevant as an internal AI adopter with procurement and finance automation needs, especially given public AI procurement use cases.","Internal procurement and operations workflows, software and vendor purchasing.","Head of AI, procurement systems leader, internal ops automation team.","Canva is publicly referenced in AI procurement customer stories, which suggests appetite for action-oriented automation.","7","8","6","8","6","Public AI procurement customer reference."
"Tier 3","Internal enterprise AI and automation teams","Deloitte","https://www.deloitte.com","Enterprise services and internal AI transformation","Deloitte is relevant because it operates large procurement and finance workflows and is publicly deploying enterprise AI assistants.","Internal procurement, travel, and vendor operations with strong compliance needs.","AI transformation lead, internal platforms, finance systems team.","Large-scale AI adoption raises the need for controls in any agent-led financial action.","7","7","4","8","4","Public enterprise AI deployment reference."
"Tier 3","Internal enterprise AI and automation teams","DBS Bank","https://www.dbs.com","Banking and enterprise AI adopter","DBS is relevant because internal AI automation in a regulated environment creates a strong need for approvals, evidence, and bounded actions.","Internal operations, procurement, finance and compliance workflows.","Head of AI, internal platforms, innovation team.","DBS has been publicly named in enterprise AI rollout contexts, which suggests timing.","8","7","4","7","4","Public enterprise AI customer reference."
"Tier 3","Internal enterprise AI and automation teams","Macquarie Group","https://www.macquarie.com","Financial services and AI adopter","Macquarie is a fit because internal AI in a financial institution makes audit-heavy action layers highly relevant.","Internal finance and procurement workflows with strict controls.","Innovation lead, internal automation, procurement systems team.","Public AI adoption at Macquarie suggests openness to workflow automation infrastructure.","8","7","4","7","4","Public enterprise AI customer reference."
"Tier 3","Internal enterprise AI and automation teams","Prudential Financial","https://www.prudential.com","Financial services and procurement AI adopter","Prudential is relevant because procurement automation in a regulated firm is a natural Sardis use case.","Procurement intake, approvals, bounded vendor purchasing.","Procurement transformation leader, internal AI team.","Public AI procurement references make timing better than for a cold generic enterprise target.","8","8","5","8","5","Public AI procurement customer reference."
"Tier 3","Internal enterprise AI and automation teams","Gordon Food Service","https://gfs.com","Distribution and enterprise AI adopter","Gordon Food Service is relevant because AI in supply and buying workflows can move toward controlled purchasing and settlement actions.","Supplier, procurement, and ordering workflows.","Internal AI lead, procurement operations, digital transformation team.","Public enterprise AI adoption makes it a more credible pilot target than a random distributor.","7","7","6","7","6","Public enterprise AI customer reference."
"Tier 3","Internal enterprise AI and automation teams","Virgin Voyages","https://www.virginvoyages.com","Travel and hospitality operator","Virgin Voyages is relevant because travel operations and guest commerce create direct payment-related workflows for AI to assist or execute.","Travel commerce, booking, onboard purchasing, service resolution credits.","Product innovation lead, guest commerce team, internal AI leader.","Travel operators are publicly using enterprise AI and have clear transaction workflows.","8","7","6","8","6","Public enterprise AI customer reference."
"Tier 3","Internal enterprise AI and automation teams","CrowdStrike","https://www.crowdstrike.com","Security platform and AI adopter","CrowdStrike is a moderate fit because internal AI workflow automation may reach vendor, ticket, or procurement actions, but payment fit is less direct.","Internal operations and procurement workflows.","Internal AI team, platform operations, procurement systems.","Public AI adoption creates some relevance, though the use case is less direct than other targets.","6","6","5","7","4","Public enterprise AI and workflow automation reference."
"Tier 3","Internal enterprise AI and automation teams","LinkedIn","https://www.linkedin.com","Enterprise AI and procurement AI adopter","LinkedIn is relevant because public procurement AI references suggest real internal workflow automation around purchasing.","Procurement and vendor intake workflows, internal approvals.","Procurement transformation lead, internal AI or ops team.","The presence in AI procurement customer stories improves timing and personalization richness.","7","8","4","8","5","Public AI procurement customer reference."
"Tier 3","Internal enterprise AI and automation teams","OpenTable","https://www.opentable.com","Hospitality commerce platform and AI adopter","OpenTable is relevant because reservations, deposits, and support workflows create real money moments for agents to manage.","Booking, reservation changes, support credits, hospitality payments.","Product lead for AI, reservations platform team.","OpenTable has been named as an Agentforce customer, which signals active agent adoption.","8","8","6","8","6","Public Agentforce customer reference."
"Tier 3","Internal enterprise AI and automation teams","Engine","https://www.engine.com","Business travel and booking platform","Engine is a strong workflow fit because travel booking and budget control are direct Sardis use cases, but public reach is less broad.","Corporate travel booking, approval and budgeted trip spend.","Product lead for AI, travel operations leader.","Engine has been publicly named in Agentforce customer stories and lives close to transaction-heavy workflows.","8","8","7","7","7","Public Agentforce customer reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Amazon","https://www.amazon.com","Commerce platform","Amazon is strategically relevant because AI shopping assistants and autonomous purchasing are core future use cases, but pilot odds are low.","Shopping assistant, cart completion, checkout actions.","AI shopping lead, product innovation team.","Amazon is publicly expanding AI shopping assistance, but external pilot access is weak.","8","8","2","10","2","Official AI shopping assistant rollout."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Etsy","https://www.etsy.com","Marketplace platform","Etsy is relevant because conversational shopping and agentic discovery can move toward direct purchase execution.","Marketplace search-to-purchase flow, checkout handoff.","Product lead for search and AI, marketplace payments team.","Etsy appears in agentic commerce ecosystem discussions and has clear commerce flow fit.","7","7","6","8","5","Public agentic commerce ecosystem reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Wix","https://www.wix.com","Commerce platform","Wix is relevant because merchant-facing agentic commerce can benefit from safer payment execution and approval-aware checkout actions.","Merchant AI assistant, checkout, commerce automation.","Commerce product lead, AI commerce team.","Wix appears in agentic commerce partner ecosystems and serves merchants likely to test new flows.","8","8","7","8","7","Public agentic commerce ecosystem reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","WooCommerce","https://woocommerce.com","Commerce platform","WooCommerce is a fit because merchant plugins and agent-led shopping flows need a policy-aware payment layer.","Merchant checkout, plugin-based commerce actions, agentic storefront flows.","Product leadership, ecosystem partnerships.","WooCommerce is part of the public agentic commerce conversation via ecosystem partnerships.","8","8","7","8","7","Public agentic commerce ecosystem reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","BigCommerce","https://www.bigcommerce.com","Commerce platform","BigCommerce is relevant because merchants will need controlled AI-driven purchase flows and approval-aware checkout experiences.","Checkout, merchant automations, storefront assistant actions.","VP Product, ecosystem partnerships, AI commerce lead.","BigCommerce is in the active set of platforms tied to agentic commerce experimentation.","8","7","7","8","7","Public agentic commerce ecosystem reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Squarespace","https://www.squarespace.com","Commerce and site platform","Squarespace is relevant because AI-driven commerce assistants at the storefront layer eventually create purchase execution moments.","Storefront assistants, checkout handoff, merchant workflow automation.","Commerce product lead, AI team.","The platform is adjacent to the rise of agentic commerce, though urgency is lower than on larger commerce infra targets.","7","6","7","7","6","Public agentic commerce ecosystem reference."
"Tier 3","Commerce / marketplace / travel / procurement platforms","commercetools","https://commercetools.com","Composable commerce platform","commercetools is a fit because enterprise brands exploring agentic commerce will need safer execution and approval logic in composable stacks.","Composable checkout, commerce orchestration, agent execution layer.","VP Product, partnerships, innovation team.","Composable commerce vendors are likely to see enterprise demand for agent-friendly transaction controls.","8","7","7","8","7","Public commerce and AI innovation positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Mirakl","https://www.mirakl.com","Marketplace software","Mirakl is relevant because marketplaces will need structured controls when agent buyers transact across many merchants.","Marketplace checkout, seller trust, approval and spend controls.","Product leadership, marketplace innovation team.","Marketplace operators are increasingly exploring AI-driven buying journeys.","8","7","7","7","7","Public AI marketplace and commerce innovation positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Rithum","https://www.rithum.com","Commerce and channel platform","Rithum is relevant because distributed commerce operations create complex fulfillment and payment moments for AI-assisted buying.","Channel commerce workflows, order routing, approval-sensitive payments.","VP Product, commerce innovation lead.","Distributed commerce platforms are likely to see agentic buying pressure from brands and marketplaces.","7","6","7","6","6","Public commerce automation positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Akeneo","https://www.akeneo.com","Product experience platform","Akeneo is a broader but still defensible target because product discovery AI can move closer to transaction-aware commerce flows.","Discovery-to-checkout handoff, product assistant workflows.","Product innovation leadership, commerce partnerships.","As product assistants become more autonomous, transaction control becomes more relevant.","6","6","6","7","5","Public commerce AI positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Logicbroker","https://www.logicbroker.com","Marketplace and drop-ship platform","Logicbroker is a defensible fit because marketplace order flows and vendor orchestration can benefit from approval and payment controls.","Supplier routing, order approvals, marketplace purchasing workflows.","Product leadership, marketplace partnerships.","The company operates in complex commerce workflows where agentic actions could create payment risk.","7","6","7","6","6","Public marketplace automation positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Pipe17","https://pipe17.com","Order operations platform","Pipe17 is relevant as a workflow-heavy commerce operator where agent-driven order and fulfillment steps may need spend or approval controls.","Order-to-fulfillment workflow actions, merchant operations.","Founder, CTO, product lead.","AI-driven commerce operations are pushing closer to action-heavy workflow execution.","6","6","8","6","7","Public commerce operations automation positioning."
"Tier 3","Commerce / marketplace / travel / procurement platforms","Airbnb","https://www.airbnb.com","Travel marketplace","Airbnb is a strong workflow fit but a weaker pilot target because booking and payment flows are direct, yet access is harder.","Trip planning, booking, host-guest resolution, travel payments.","AI product lead, marketplace payments team.","Airbnb is leaning into AI travel experiences, though partnership access is limited.","8","7","4","8","4","Official AI and travel-assistant direction."
"Tier 3","Commerce / marketplace / travel / procurement platforms","TravelPerk","https://www.travelperk.com","Corporate travel platform","TravelPerk is relevant because corporate travel booking is one of the cleanest Sardis workflows: bounded spend, approvals, and audit.","Travel booking, policy controls, traveler approval routing.","Product lead for AI, travel operations leadership.","TravelPerk is pushing AI in travel workflows, which makes autonomous booking control timely.","8","7","8","7","8","Official AI and business travel workflow positioning."
"Tier 3","Fintech / commerce / payment design partners","Visa","https://usa.visa.com","Global payments network","Visa is strategically relevant because intelligent commerce and agent payments are becoming public priorities, but reachability and pilot speed are low.","Network-level agent commerce, tokenized payment approvals, wallet actions.","Innovation or intelligent commerce leadership.","Visa is publicly framing intelligent commerce around AI agents now.","8","9","3","10","3","Official Visa Intelligent Commerce announcement."
"Tier 3","Fintech / commerce / payment design partners","Mastercard","https://www.mastercard.com","Global payments network","Mastercard is relevant because Agent Pay signals that AI-led payment execution is now a visible card-network topic.","Network-backed agent commerce, trusted agent credentials, payment approvals.","Agent Pay leadership, innovation team.","Mastercard is publicly pushing Agent Pay and autonomous commerce concepts.","8","9","3","9","3","Official Mastercard Agent Pay announcement."
"Tier 3","Fintech / commerce / payment design partners","Nium","https://www.nium.com","Global payments and treasury platform","Nium is a defensible fit where global money movement and treasury workflows may become more automated and agent-managed.","Cross-border payouts, treasury actions, approval-managed finance ops.","VP Product, treasury or payments partnerships.","Global payments platforms are under pressure to add more automation and control.","7","7","7","7","7","Official global payments and automation positioning."
"Tier 3","Fintech / commerce / payment design partners","Synctera","https://synctera.com","Embedded banking platform","Synctera is relevant because embedded banking customers may want safer AI-driven money movement, though urgency is still moderate.","Embedded banking actions, account and card workflows.","CEO, product lead, partnerships.","Embedded finance is maturing toward more programmable operational layers.","7","7","7","6","7","Official embedded banking platform positioning."
"Tier 3","Fintech / commerce / payment design partners","Zero Hash","https://zerohash.com","Crypto and stablecoin infrastructure","Zero Hash is relevant because stablecoin and crypto payment flows are moving closer to embedded and automated use cases.","Stablecoin settlement, programmable money movement, approvals.","VP Product, partnerships, developer platform team.","Stablecoin infrastructure demand is rising, but the Sardis fit is more design-partner than immediate customer.","7","7","6","7","6","Official stablecoin infrastructure expansion."
"Tier 3","Fintech / commerce / payment design partners","MoonPay","https://www.moonpay.com","Crypto and payments platform","MoonPay is a broader but defensible fit where wallet, purchase, and commerce flows increasingly intersect with AI assistants.","Wallet purchase flows, onramp and merchant payment actions.","Product innovation lead, partnerships.","MoonPay continues to position around broader commerce and stablecoin infrastructure.","6","6","6","7","5","Official stablecoin and commerce expansion."
"Tier 3","Fintech / commerce / payment design partners","Mesh","https://www.meshconnect.com","Crypto payments and wallet connectivity","Mesh is relevant because wallet-based commerce and connections create an opening for governed agent payment flows.","Wallet connectivity, merchant checkout, agent payment approvals.","CEO, product lead, partnerships.","Wallet-to-commerce products are becoming more relevant as agentic checkout rises.","7","6","8","7","7","Official wallet connectivity and payments positioning."
"Tier 3","Fintech / commerce / payment design partners","Conduit","https://www.conduit.xyz","Stablecoin treasury and payments infrastructure","Conduit is relevant because treasury and settlement infrastructure is a plausible design-partner surface for Sardis controls.","Treasury settlement, stablecoin payouts, approval-managed operations.","Founder, CEO, product lead.","Stablecoin treasury infrastructure is still early enough for design-partner conversations.","7","6","8","6","8","Official stablecoin treasury infrastructure positioning."
"Tier 3","Fintech / commerce / payment design partners","Phantom","https://phantom.com","Wallet platform","Phantom is a broader adjacency target because wallet-native commerce and agent actions may eventually need safer authorization controls.","Wallet approvals, merchant interactions, onchain commerce actions.","Product lead, wallet partnerships.","Wallet platforms are being pulled toward broader commerce and payments use cases.","6","6","5","8","4","Public wallet-commerce expansion."
